Ticker,Date,Price,Action,Volume,Predicted_Return,Sentiment_Score
NVDA,2025-02-28,118.02,BUY,14,0,0
MSFT,2025-02-28,392.655,BUY,13,0,0
AVGO,2025-02-28,195.76,SELL,16,0,0
TSM,2025-02-28,179.31,SELL,17,0,0
SAP,2025-02-28,274.51,SELL,2,0,0
CRM,2025-02-28,295.955,BUY,11,0,0
ASML,2025-02-28,706.82,SELL,5,0,0
IBM,2025-02-28,250.855,BUY,36,0,0
ACN,2025-02-28,357.15,SELL,0,0,0
PLTR,2025-02-28,79.98,SELL,6,0,0
NOW,2025-02-28,920.97,BUY,14,0,0
ADBE,2025-02-28,438.16,SELL,0,0,0
QCOM,2025-02-28,155.1,BUY,20,0,0
AMD,2025-02-28,99.56,BUY,22,0,0
UBER,2025-02-28,74.28,SELL,14,0,0
SHOP,2025-02-28,109.0,BUY,24,0,0
ARM,2025-02-28,129.3,BUY,1,0,0
SONY,2025-02-28,24.79,SELL,29,0,0
AMAT,2025-02-28,157.29,SELL,26,0,0
FI,2025-02-28,232.5,SELL,16,0,0
PANW,2025-02-28,187.89,BUY,18,0,0
ANET,2025-02-28,90.97,BUY,6,0,0
ADP,2025-02-28,314.69,BUY,26,0,0
MU,2025-02-28,91.0,SELL,6,0,0
INTC,2025-02-28,23.02,SELL,18,0,0
CRWD,2025-02-28,379.0,BUY,14,0,0
KLAC,2025-02-28,705.84,SELL,6,0,0
MRVL,2025-02-28,87.17,SELL,18,0,0
INFY,2025-02-28,19.84,BUY,18,0,0
FTNT,2025-02-28,106.98,BUY,5,0,0
DELL,2025-02-28,100.96,SELL,25,0,0
MSTR,2025-02-28,238.315,SELL,3,0,0
APH,2025-02-28,65.11,SELL,12,0,0
SNPS,2025-02-28,462.29,SELL,4,0,0
CDNS,2025-02-28,249.8,SELL,1,0,0
MSI,2025-02-28,433.75,SELL,5,0,0
WDAY,2025-02-28,260.855,BUY,20,0,0
ADSK,2025-02-28,279.42,SELL,30,0,0
SNOW,2025-02-28,172.03,BUY,27,0,0
PAYX,2025-02-28,150.06,BUY,31,0,0
XYZ,2025-02-28,63.87,SELL,7,0,0
GRMN,2025-02-28,225.06,SELL,10,0,0
CTSH,2025-02-28,84.24,BUY,2,0,0
DDOG,2025-02-28,112.62,SELL,4,0,0
FICO,2025-02-28,1832.9,BUY,1,0,0
HUBS,2025-02-28,711.18,BUY,4,0,0
IT,2025-02-28,492.19,SELL,23,0,0
WIT,2025-02-28,3.21,SELL,6,0,0
FIS,2025-02-28,69.39,SELL,7,0,0
TTD,2025-02-28,70.94,SELL,9,0,0
SMCI,2025-02-28,40.225,SELL,12,0,0
MCHP,2025-02-28,57.16,BUY,1,0,0
HPQ,2025-02-28,31.43,SELL,2,0,0
ZS,2025-02-28,191.73,BUY,15,0,0
IOT,2025-02-28,47.4,SELL,8,0,0
HPE,2025-02-28,19.6,BUY,21,0,0
FTV,2025-02-28,79.78,SELL,4,0,0
